Denumire,Pret,Stoc,Link,Poza,Descriere
"Baton cu portocale invelit in ciocolata bio 40g Lifebar","17.02","notinstock","www.natur.ro/D121A082-D419-4D5B-8802-22B31EF77328.html","https://www.natur.ro/ImaginiProduse/d121a082-d419-4d5b-8802-22b31ef77328/0LifebarmockupOrangeinchoco400400_39508f2a-a09e-4445-9625-98181c6d532f.png","Lifebar baton cu portocale in ciocolata raw bio 40gUn baton gustos de fructe,&nbsp; realizat cu coaja de portocala, miez de boabe de cacao si unt de migdale, acoperit cu o glazura de ciocolata 70%.Ne-am acoperit Lifebar-ul cu ciocolata noastra cruda organica bogata &icirc;n antioxidanti, indulcita doar cu curmale. Rezultatul este un baton delicios, vegan, fara gluten si fara zahar care va face mintea si corpul sa se simta grozav.&nbsp;&nbsp;Toate ingredientele sunt bio si procesate la temperaturi de pana la 42 de grade.Ingrediente:&nbsp;NUCI* 42% (MIGDALE*, pasta de MIGDALE*, pasta de ALUNE de padure*), curmale*, ciocolata*13% (pasta de cacao*85%, grasime de cacao*15%), miez din boabe de cacao*, coaja de portocale*0.8%, ulei esential de portocale*0.1%.*din agricultura ecologica&nbsp;Valori nutritionale/100g:Energie 1990kj/477kcal, Fibre 11g, Grasimi&nbsp;31 g din care saturate 9.5g, Proteine 12g, Carbohidrati&nbsp;32 g din care zaharuri 24g, Proteine 12gSare 0.01g.Alergeni:&nbsp;vezi ingredientele cu majuscule. Poate contine urme de nuci, susan si coji de nuci sau fructe.Un produs 100%:-vegan-fara gluten-fara zahar-certificat bio-raw-fara lactozaAgricultura UE/Non-UEFabricat in Cehia"
"Baton cu ciocolata bio 25g Lifebar","7.62","instock","www.natur.ro/lifebar-baton-cu-ciocolata-raw-eco-25g.html","https://www.natur.ro/ImaginiProduse/c4fab1fe-df14-45d2-a7d9-0b4a35315ee8/0LifebarmockupMINIChocolate400400_af6f2144-37af-44ca-b890-8d570d36e2eb.png","Lifebar baton cu ciocolata raw bio 25gIngrediente:&nbsp;Curmale*, nuci* (26 %; migdale*, caju prajite*, pasta de alune*), ciocolata* (9 %; pudra de cacao*, unt de cacao*,&nbsp;continut&nbsp;de cacao minim 100 %).*din agricultura ecologicaValori nutritionale/100g:Energie: 1612 kJ / 387&nbsp;kcalGrasimi: 16g din care saturate 3.6gCarbohidrati: 47g din care zaharuri 42gProteine: 8gFibre: 9.3gSaruri: 0.01gToate ingredientele sunt bio si procesate la temperaturi de pana la 42 de grade.Un produs 100%:-vegan-fara gluten-fara zahar-certificat bio-raw-fara lactozaFabricat in Cehia.Certificat ecologic, 100% raw.25g"
"Baton cu cocos bio 25g Lifebar","7.62","notinstock","www.natur.ro/lifebar-baton-cu-cocos-raw-eco-25g.html","https://www.natur.ro/ImaginiProduse/5e479d3e-f52c-4962-98c2-eb984313cfc6/Lifebarminicoconut_ca1d701a-cbc8-48c2-b488-b7f3cf2199e5.png","Lifebar baton cu nuca de cocos raw bio 25gIngrediente: curmale* , NUCI* 25%( CAJU prajit, MIGDALE*, pasta de CAJU*prajit), cocos prajit* 17%, extract de vanilie*.*din agricultura ecologicaAlergeni: vezi ingrediente cu majuscule. Poate contine urme de alte nuci, susan si coaja de nuci sau fructe.Valori nutritionale/100g:Energie: 1795kJ / 430kcalGrasimi: 22g din care saturate 11gCarbohidrati: 47g din care zaharuri 39gProteine: 7.3gFibre: 6.8gSaruri: 0.02gToate ingredientele sunt bio si procesate la temperaturi de pana la 42 de grade.Un produs 100%:-vegan-fara gluten-fara zahar-certificat bio-raw-fara lactozaFabricat in Cehia.Certificat ecologic, 100% raw.25g"
"Baton cu caise bio 40g Lifebar","13.47","instock","www.natur.ro/CE633F69-2DBA-43C6-BA57-5C2D19EB30A5.html","https://www.natur.ro/ImaginiProduse/ce633f69-2dba-43c6-ba57-5c2d19eb30a5/8595657103898_8f0cba12-98a3-41af-93db-a4bddb021167.jpeg","Lifebar baton cu caise, raw, bio, 40g, LifefoodIngrediente simple - gust variat, acestea sunt batoanele Lifebar cu o baza de curmale. Acest baton moale raw, cu o compozitie pur naturala, este facut pentru cei care doresc sa se rasfete cu o gustare delicioasa si sanatoasa. Daca vrei sa-ti imaginezi gustul fructelor de vara, batonul Lifebar cu caise este alegerea potrivita pentru tine. Combinatia de dulce cu note usoare de fructe ofera batoanelor o experienta racoritoare. Gustarea cu caise care va alunga foamea si iti va oferi energia de care ai nevoie intr-o zi plina.Ingrediente:&nbsp;Fructe* (61 %; Curmale*, Caise uscate* 31 %), MIGDALE*.*din agricultura ecologicaAlergeni: Vezi ingrediente cu majuscule.&nbsp;Poate contine urme de alte nuci si susan. Poate contine ocazional bucati de coji de nuci si samburi de fructe.- Batoanele contin numai ingrediente naturale de cea mai inalta calitate organica- Calitate RAW: fiecare baton este produs cu grija la temperaturi scazute (pana la 45 &deg;C), asigurand o retentie maxima de nutrienti- Toate ingredientele de calitate bruta sunt garantate- Bogata in fibre: batoanele sunt bogate in fibre, care sustin un sistem digestiv sanatos si asigura o satietate de lunga durata- O portie concentrata de vitamine, minerale, enzime si oligoelemente in forma lor cea mai naturala- Fara eteri: poti fi sigur ca batoanele noastre nu contin substante artificiale, eteri sau conservanti- Fara zahar rafinat: sunt indulcite exclusiv cu fructe uscate- Fara gluten- Fara lactozaValori nutritionale/100g:Energie 1626kJ / 390kcalGrasimi 19 g- Din care 1,6 g acizi grasi saturatiCarbohidrati 40 g- Din care zaharuri g 37gFibre 9,3 gProteine 9,7 gSaruri 0,01 gProdus certificat ecologic.Tara de origine:&nbsp;CehiaGramaj: 40g"
"Baton cu ciocolata bio 40g Lifebar","13.47","instock","www.natur.ro/F5AD2FD2-22BB-4DFF-A61E-A67CC8146C94.html","https://www.natur.ro/ImaginiProduse/f5ad2fd2-22bb-4dff-a61e-a67cc8146c94/Lifebarbatoncuciocolatarawbio40gLifefood_8672a24c-d621-4bd6-a11d-d516a563d51f.jpeg","Lifebar baton cu ciocolata, raw, bio, 40g, LifefoodIngrediente simple - gust variat, acestea sunt batoanele Lifebar cu baza de curmale. Gustati clasicul tuturor clasicilor - un baton de ciocolata cu o aroma bogata de cacao care va ofera nutrientii din boabele de cacao neprajite. Un baton de ciocolata este ca un mic boost de energie care te va reincarca din mers, la scoala, la serviciu si chiar si in timpul exercitiilor fizice.Ingrediente:&nbsp;Curmale* (54 %), NUCI* 30 % (MIGDALE*, Pasta de ALUNE DE PADURE*), Ciocolata* 15,5% (Pudra de cacao*, Boabe de cacao*, Grasime de cacao* 3 %). Continut de cacao: minim 100%.*din agricultura ecologicaAlergeni:&nbsp;vezi ingredientele cu majuscule. Poate contine urme de nuci, susan sau coji de nuci si fructe.Valori nutritionale/100g:Energie: 1737 kj/ 416 kcal,Grasimi: 21 g din care saturate 5.4gCarbohidrati: 40g din care zaharuri 36g,Fibre: 11gProteine: 10gSare: 0.01gIngredientele extraordinare fac un produs extraordinar:-&nbsp;Batoanele contin numai ingrediente naturale de cea mai inalta calitate organica-&nbsp;Calitate RAW: fiecare baton este produs cu grija la temperaturi scazute (pana la 45 &deg;C), asigurand o retentie maxima de nutrienti-&nbsp;Bogata in fibre: batoanele sunt bogate in fibre, care sustin un sistem digestiv sanatos si asigura o satietate de lunga durata-&nbsp;O portie concentrata de vitamine, minerale, enzime si oligoelemente in cea mai naturala forma-&nbsp;Fara eteri: poti fi sigur ca batoanele Lifebar nu contin substante artificiale, eteri sau conservanti-&nbsp;Fara zahar adaugat: sunt indulcite exclusiv cu fructe uscate, care contin zaharuri in mod natural.-&nbsp;Fara gluten-&nbsp;Fara lactozaAgricultura UE/Non-UEFabricat in Cehia40g"
"Baton cu cocos bio 40g Lifebar","13.47","instock","www.natur.ro/AAB0F6D0-C4A4-4E73-B3A0-BF223F170490.html","https://www.natur.ro/ImaginiProduse/aab0f6d0-c4a4-4e73-b3a0-bf223f170490/8595657103867_b83beb03-9085-4112-baec-15ae43028c14.jpeg","Lifebar baton cu nuca de cocos, bio, 40g, LifefoodIngrediente simple - gust variat, acestea sunt batoanele Lifebar cu baza de curmale. Acest baton moale, organic cu nuca de cocos prajita este un rasfat special care ofera o aroma dulce de nuca de cocos, cu note de nuci si caramel. Un mic boost de energie care te va mentine plin de energie in mers, la scoala, la serviciu si in timp ce faci sport.Ingrediente:&nbsp;Curmale*, NUCI* 25 % (CAJU prajite*, MIGDALE*, pasta de CAJU prajite*), nuca de cocos prajita* (17 %), extract de vanilie*.*din agricultura ecologica.Alergeni:&nbsp;vezi ingredientele cu majuscule. Poate contine urme de nuci, susan sau coji de nuci si fructe.Valori nutritionale/100g:Energie: 1795 kj/ 430 kcal,Grasimi: 22 g din care saturate 11gCarbohidrati: 47g din care zaharuri 39gFibre: 6.8gProteine: 7.3gSare: 0.02gIngredientele extraordinare fac un produs extraordinar:-&nbsp;Batoanele contin numai ingrediente naturale de cea mai inalta calitate organica-&nbsp;Bogata in fibre: batoanele sunt bogate in fibre, care sustin un sistem digestiv sanatos si asigura o satietate de lunga durata-&nbsp;O portie concentrata de vitamine, minerale, enzime si oligoelemente in cea mai naturala forma-&nbsp;Fara eteri: poti fi sigur ca batoanele Lifebar nu contin substante artificiale, eteri sau conservanti-&nbsp;Fara zahar adaugat: sunt indulcite exclusiv cu fructe uscate, care contin zaharuri in mod natural.-&nbsp;Fara gluten-&nbsp;Fara lactozaAgricultura UE/Non-UEFabricat in Cehia40g"
"Baton proteic cu ciocolata bio 40g Lifebar","14.69","instock","www.natur.ro/99F47DBE-1A74-4630-A5A8-F0EDABA8DBED.html","https://www.natur.ro/ImaginiProduse/99f47dbe-1a74-4630-a5a8-f0edaba8dbed/8595657104048_b5edf6a9-e3c6-41ed-a61c-cfc53dade6b3.jpeg","Lifebar baton cu proteine si ciocolata, bio, 40g, LifefoodBatoanele cu proteine Lifebar cu baza de curmale sunt partenerul ideal pentru persoanele active care nu doresc sa faca compromisuri intre gust si calitate. Sunt o sursa de proteine si carbohidrati complecsi care va vor sustine in timpul activitatilor solicitante. Iti reincarca corpul cu energie - rapid si eficient.&nbsp;Ingrediente:&nbsp;Curmale*, sirop de floare de cocos*, NUCI* 15 % (pasta de MIGDALE*, MIGDALE*, pasta de ALUNE DE PADURE*), bucatele proteice din mazare* 10 % (pudra proteica din mazare* 72%, faina de orez* 28%), proteina din mazare Pulbere* (7,5 %), pudra de cacao* (6,5 %), seminte de dovleac*, pasta de cacao* (4 %), miez de cacao* (4 %), ulei de masline extravirgin*, sare de mare*.*din agricultura ecologicaAlergeni:&nbsp;vezi ingredientele cu majuscule. Poate contine urme de nuci, susan sau coji de nuci si fructe.Valori nutritionale/100g:Energie: 1688kj/ 405kcal,Grasimi: 17 g din care saturate 4.3gCarbohidrati: 39g din care zaharuri 32gFibre: 8.6gProteine: 20gSare: 0.89gIngredientele extraordinare fac un produs extraordinar:-&nbsp;Continut ridicat de proteine: continutul de proteine al batonului este de 20% din valoarea sa calorica-&nbsp;Batoanele contin doar ingrediente naturale facute din cea mai inalta calitate organica-&nbsp;Bogat in fibre: batoanele sunt bogate in fibre, care sustin un sistem digestiv sanatos si asigura o satietate de lunga durata-&nbsp;Portii concentrate de vitamine, minerale, enzime si oligoelemente in cea mai naturala forma-&nbsp;Fara eteri: poti fi sigur ca batoanele Lifefood nu contin substante artificiale, eteri sau conservanti-&nbsp;Fara zahar adaugat-&nbsp;Fara gluten-&nbsp;Fara lactozaAgricultura UE/Non-UEFabricat in Cehia40g"
"Baton proteic cu nuci si vanilie bio 40g Lifebar","13.47","instock","www.natur.ro/3DCE5BD2-716E-4B88-91EA-30F96F15B242.html","https://www.natur.ro/ImaginiProduse/3dce5bd2-716e-4b88-91ea-30f96f15b242/8595657103959_c903ede6-9a28-4c5c-8a01-6f681e6b0b6f.jpeg","Lifebar baton cu proteine vanilie si nuci, bio, 40g, LifefoodBatoanele cu proteine Lifebar cu baza de curmale sunt partenerul ideal pentru persoanele active care nu doresc sa faca compromisuri intre gust si calitate. Sunt o sursa de proteine si carbohidrati complecsi care va vor sustine in timpul activitatilor solicitante. Iti reincarca corpul cu energie - rapid si eficient.Ingrediente:&nbsp;Curmale*, pudra proteica de mazare* (19 %), NUCI* (12 %; pasta de ALUNE DE PADURE* 6 %, ALUNE DE PADURE* 5,5 %, pasta de MIGDALE*), ulei de masline extravirgin*, extract de vanilie* (0,3 % ), sare de mare*, pudra de vanilie* (0,05 %).*din agricultura ecologicaAlergeni:&nbsp;vezi ingredientele cu majuscule. Poate contine urme de nuci, susan sau coji de nuci si fructe.Valori nutritionale/100g:Energie: 1529kj/ 367kcal,Grasimi: 11 g din care saturate 0.9gCarbohidrati: 44g din care zaharuri 42gFibre: 7.1gProteine: 19gSare: 0.10gIngredientele extraordinare fac un produs extraordinar:- Continut ridicat de proteine: continutul de proteine al batonului este de 20% din valoarea sa calorica- Batoanele contin doar ingrediente naturale facute din cea mai inalta calitate organica- Bogat in fibre: batoanele sunt bogate in fibre, care sustin un sistem digestiv sanatos si asigura o satietate de lunga durata- Portii concentrate de vitamine, minerale, enzime si oligoelemente in cea mai naturala forma- Fara eteri: poti fi sigur ca batoanele Lifefood nu contin substante artificiale, eteri sau conservanti- Fara zahar agaugat: sunt indulcite exclusiv cu fructe uscate, care contin in mod natural zaharuri.- Fara gluten- Fara lactozaAgricultura UE/Non-UEFabricat in Cehia40g"
"Baton cu cirese bio 40g Lifebar","13.47","instock","www.natur.ro/FD2607C0-F961-4467-97D4-861ADD49EE03.html","https://www.natur.ro/ImaginiProduse/fd2607c0-f961-4467-97d4-861add49ee03/8595657103775_dea8d9dd-8ed4-4d2c-9859-bd6895ea6d59.jpeg","Lifebar baton cu cirese, raw, bio, 40gIngrediente simple - gust variat, acestea sunt batoanele Lifebar pe baza de curmale. Acest baton moale raw, cu o compozitie pur naturala, este facut pentru cei care doresc sa se rasfete cu o gustare sanatoasa. Datorita combinatiei de cirese, te poti bucura de un gust dulce-acrisor echilibrat, de parca tocmai ai gustat cirese proaspete si coapte. In plus, vei gasi migdale de cea mai buna calitate organica in baton. Gustati batonul de cirese care va alunga foamea si va va oferi energie, indiferent daca sunteti in miscare, la scoala, la serviciu sau faceti sport.Ingrediente:&nbsp;Fructe* (62 %; Curmale*, Visine uscate* 12 %, Cirese dulci uscate* 4 %, Cirese aurii uscate* 4 %), MIGDALE*.*din agricultura ecologica.Alergeni:&nbsp;vezi ingredientele cu majuscule. Poate contine urme de nuci, susan sau coji de nuci si fructe.Valori nutritionale/100g:Energie: 1795 kj/ 430 kcal,Grasimi: 22 g din care saturate 11gCarbohidrati: 47g din care zaharuri 39gFibre: 6.8gProteine: 7.3gSare: 0.02gIngredientele extraordinare fac un produs extraordinar:-&nbsp;Batoanele contin numai ingrediente naturale de cea mai inalta calitate organica-&nbsp;Calitate RAW: fiecare baton este produs cu grija la temperaturi scazute (pana la 45 &deg;C), asigurand o retentie maxima de nutrienti-&nbsp;&nbsp;Toate ingredientele de calitate raw sunt garantate-&nbsp;Bogat in fibre: batoanele sunt bogate in fibre, care sustin un sistem digestiv sanatos si asigura o satietate de lunga durata-&nbsp;O portie concentrata de vitamine, minerale, enzime si oligoelemente in cea mai naturala forma-&nbsp;Fara eteri: poti fi sigur ca batoanele noastre nu contin substante artificiale, eteri sau conservanti-&nbsp;Fara zahar adugat: sunt indulcite exclusiv cu fructe uscate, care contin in mod natural zaharuri-&nbsp;Fara gluten-&nbsp;Fara lactozaAgricultura UE/Non-UEFabricat in Cehia40g"
"Baton cu nuci braziliene bio 40g Lifebar","13.47","instock","www.natur.ro/7B048C01-A389-4D02-8406-D2855768FBA2.html","https://www.natur.ro/ImaginiProduse/7b048c01-a389-4d02-8406-d2855768fba2/8595657103928_1cd16ceb-2593-46fd-8ad2-d02dba48a64d.jpeg","Lifebar baton cu nuci braziliene, bio, 40gIngrediente simple - gust variat, acestea sunt batoanele Lifebar cu baza de curmale. Gustati un baton plin de nuci, care se evidentiaza cu o nota de vanilie si nuca de cocos dulce. Perfect pentru cei care cauta combinatia de beneficii nutritionale cu un gust deosebit. Aceste batoane sunt o gustare rapida, hranitoare si sanatoasa, care va alunga foamea si va va oferi energia necesara, indiferent daca sunteti in miscare, la scoala, la serviciu sau faceti sport.Ingrediente:&nbsp;Curmale* 59 %, NUCI* 35 % (NUCI braziliene* 26 %, MIGDALE*, pasta de CAJU prajita*), nuca de cocos prajita*, extract de vanilie*.*din agricultura ecologica.Alergeni:&nbsp;vezi ingredientele cu majuscule. Poate contine urme de nuci, susan sau coji de nuci si fructe.Valori nutritionale/100g:Energie: 1795 kj/ 431 kcal,Grasimi: 24g din care saturate 7.4gCarbohidrati: 42g din care zaharuri 39gFibre: 7.9gProteine: 7.1gSare: 0.01gIngredientele extraordinare fac un produs extraordinar:- Batoanele contin numai ingrediente naturale de cea mai inalta calitate organica- Bogat in fibre: batoanele sunt bogate in fibre, care sustin un sistem digestiv sanatos si asigura o satietate de lunga durata- Portii concentrate de vitamine, minerale, enzime si oligoelemente in cea mai naturala forma- Fara eteri: poti fi sigur ca batoanele noastre nu contin substante artificiale, eteri sau conservanti- Fara zahar adaugat: sunt indulcite exclusiv cu fructe uscate, care contin in mod natural zaharuri- Fara gluten- Fara lactozaAgricultura UE/Non-UEFabricat in Cehia40g"
